Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Primary Hyperparathyroidism.,""/pubmed/30592590"",""Choy KW."",""N Engl J Med. 2018 Dec 20";"379(25):e43. doi: 10.1056/NEJMc1813648. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30592590"",""pubmed"",""30592590"",""create date:2018/12/29 | first author:Choy KW"",";;
"Platelet Counts during Pregnancy.,""/pubmed/30338964"",""Rubin P."",""N Engl J Med. 2018 Oct 18";"379(16):1581. doi: 10.1056/NEJMc1810467. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338964"",""pubmed"",""30338964"",""create date:2018/10/20 | first author:Rubin P"",";;
"Five-Year Risk of Stroke after TIA or Minor Ischemic Stroke.,""/pubmed/30338963"",""Wussler D, du Fay de Lavallaz J, Mueller C."",""N Engl J Med. 2018 Oct 18";"379(16):1580. doi: 10.1056/NEJMc1808913. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338963"",""pubmed"",""30338963"",""create date:2018/10/20 | first author:Wussler D"",";;
"Five-Year Risk of Stroke after TIA or Minor Ischemic Stroke.,""/pubmed/30338962"",""Yin X, Wang D."",""N Engl J Med. 2018 Oct 18";"379(16):1579-1580. doi: 10.1056/NEJMc1808913. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338962"",""pubmed"",""30338962"",""create date:2018/10/20 | first author:Yin X"",";;
"Ultrasound-Guided Cannulation of the Subclavian Vein - An Update.,""/pubmed/30338961"",""Pinelli F, Barbani F, Pittiruti M."",""N Engl J Med. 2018 Oct 18";"379(16):e27. doi: 10.1056/NEJMc1810174. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338961"",""pubmed"",""30338961"",""create date:2018/10/20 | first author:Pinelli F"",";;
"Ultrasound-Guided Cannulation of the Subclavian Vein - An Update.,""/pubmed/30338960"",""Chico-Fernández M, Palomino-Sánchez I, Barea-Mendoza J."",""N Engl J Med. 2018 Oct 18";"379(16):e27. doi: 10.1056/NEJMc1810174. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338960"",""pubmed"",""30338960"",""create date:2018/10/20 | first author:Chico-Fernández M"",";;
"Ultrasound-Guided Cannulation of the Subclavian Vein - An Update.,""/pubmed/30338959"",""Wenk M, Engel P, Ermert T."",""N Engl J Med. 2018 Oct 18";"379(16):e27. doi: 10.1056/NEJMc1810174. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338959"",""pubmed"",""30338959"",""create date:2018/10/20 | first author:Wenk M"",";;
"Vemurafenib in Multiple Nonmelanoma Cancers with BRAF V600 Mutations; Adjuvant Pertuzumab and Trastuzumab in Early HER2-Positive Breast Cancer.,""/pubmed/30338958"",""[No authors listed]"",""N Engl J Med. 2018 Oct 18";"379(16):1585. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30338958"",""pubmed"",""30338958"",""create date:2018/10/20"",";;
"Triple CFTR Modulator Therapy for Cystic Fibrosis.,""/pubmed/30334694"",""Holguin F."",""N Engl J Med. 2018 Oct 25";"379(17):1671-1672. doi: 10.1056/NEJMe1811996. Epub 2018 Oct 18. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30334694"",""pubmed"",""30334694"",""create date:2018/10/20 | first author:Holguin F"",";;
"VX-659-Tezacaftor-Ivacaftor in Patients with Cystic Fibrosis and One or Two Phe508del Alleles.,""/pubmed/30334693"",""Davies JC, Moskowitz SM, Brown C, Horsley A, Mall MA, McKone EF, Plant BJ, Prais D, Ramsey BW, Taylor-Cousar JL, Tullis E, Uluer A, McKee CM, Robertson S, Shilling RA, Simard C, Van Goor F, Waltz D, Xuan F, Young T, Rowe SM";" VX16-659-101 Study Group.."",""N Engl J Med. 2018 Oct 25";"379(17):1599-1611. doi: 10.1056/NEJMoa1807119. Epub 2018 Oct 18."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30334693 | PMCID:PMC6277022"",""pubmed"",""30334693"",""create date:2018/10/20 | first author:Davies JC"",";
"VX-445-Tezacaftor-Ivacaftor in Patients with Cystic Fibrosis and One or Two Phe508del Alleles.,""/pubmed/30334692"",""Keating D, Marigowda G, Burr L, Daines C, Mall MA, McKone EF, Ramsey BW, Rowe SM, Sass LA, Tullis E, McKee CM, Moskowitz SM, Robertson S, Savage J, Simard C, Van Goor F, Waltz D, Xuan F, Young T, Taylor-Cousar JL";" VX16-445-001 Study Group.."",""N Engl J Med. 2018 Oct 25";"379(17):1612-1620. doi: 10.1056/NEJMoa1807120. Epub 2018 Oct 18."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30334692 | PMCID:PMC6289290"",""pubmed"",""30334692"",""create date:2018/10/20 | first author:Keating D"",";
"Case 32-2018: A 36-Year-Old Pregnant Woman with Newly Diagnosed Adenocarcinoma.,""/pubmed/30332577"",""Murphy JE, Shampain K, Riley LE, Clark JW, Basnet KM."",""N Engl J Med. 2018 Oct 18";"379(16):1562-1570. doi: 10.1056/NEJMcpc1712230. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332577"",""pubmed"",""30332577"",""create date:2018/10/18 | first author:Murphy JE"",";;
"Nail Changes during Chemotherapy.,""/pubmed/30332576"",""Alzahrani MF, AlJasser MI."",""N Engl J Med. 2018 Oct 18";"379(16):1561. doi: 10.1056/NEJMicm1801702. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332576"",""pubmed"",""30332576"",""create date:2018/10/18 | first author:Alzahrani MF"",";;
"Should Aspirin Be Used for Primary Prevention in the Post-Statin Era?,""/pubmed/30332575"",""Ridker PM."",""N Engl J Med. 2018 Oct 18";"379(16):1572-1574. doi: 10.1056/NEJMe1812000. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332575"",""pubmed"",""30332575"",""create date:2018/10/18 | first author:Ridker PM"",";;
"Medical Marijuana for Chronic Pain.,""/pubmed/30332574"",""Caulley L, Caplan B, Ross E."",""N Engl J Med. 2018 Oct 18";"379(16):1575-1577. doi: 10.1056/NEJMclde1808149. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332574"",""pubmed"",""30332574"",""create date:2018/10/18 | first author:Caulley L"",";;
"Brain Change in Addiction as Learning, Not Disease.,""/pubmed/30332573"",""Lewis M."",""N Engl J Med. 2018 Oct 18";"379(16):1551-1560. doi: 10.1056/NEJMra1602872. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332573"",""pubmed"",""30332573"",""create date:2018/10/18 | first author:Lewis M"",";;
"Five-Year Risk of Stroke after TIA or Minor Ischemic Stroke.,""/pubmed/30332572"",""Amarenco P";" Steering Committee and Investigators of the TIAregistry.org Project.."",""N Engl J Med. 2018 Oct 18";"379(16):1580-1581. doi: 10.1056/NEJMc1808913. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332572"",""pubmed"",""30332572"",""create date:2018/10/18 | first author:Amarenco P"",";
"PD-1 Blockade-Induced Pruritus Treated with a Mu-Opioid Receptor Antagonist.,""/pubmed/30332571"",""Kwatra SG, Ständer S, Kang H."",""N Engl J Med. 2018 Oct 18";"379(16):1578-1579. doi: 10.1056/NEJMc1805637. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332571"",""pubmed"",""30332571"",""create date:2018/10/18 | first author:Kwatra SG"",";;
"Atrial Myxoma.,""/pubmed/30332570"",""Ali MU, Finkel J."",""N Engl J Med. 2018 Oct 18";"379(16):e26. doi: 10.1056/NEJMicm1802693. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332570"",""pubmed"",""30332570"",""create date:2018/10/18 | first author:Ali MU"",";;
"Extensively Drug-Resistant Typhoid - Are Conjugate Vaccines Arriving Just in Time?,""/pubmed/30332569"",""Andrews JR, Qamar FN, Charles RC, Ryan ET."",""N Engl J Med. 2018 Oct 18";"379(16):1493-1495. doi: 10.1056/NEJMp1803926. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332569"",""pubmed"",""30332569"",""create date:2018/10/18 | first author:Andrews JR"",";;
"Abortion ""Reversal"" - Legislating without Evidence.,""/pubmed/30332568"",""Grossman D, White K."",""N Engl J Med. 2018 Oct 18";"379(16):1491-1493. doi: 10.1056/NEJMp1805927. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332568"",""pubmed"",""30332568"",""create date:2018/10/18 | first author:Grossman D"",";;
"Ultrasound-Guided Cannulation of the Subclavian Vein - An Update.,""/pubmed/30332567"",""Schulman PM, Gerstein NS, Tegtmeyer K."",""N Engl J Med. 2018 Oct 18";"379(16):e27. doi: 10.1056/NEJMc1810174. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332567"",""pubmed"",""30332567"",""create date:2018/10/18 | first author:Schulman PM"",";;
"Cardiovascular Safety of Febuxostat.,""/pubmed/30332566"",""White WB, Gunawardhana L."",""N Engl J Med. 2018 Oct 18";"379(16):1584. doi: 10.1056/NEJMc1809736. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332566"",""pubmed"",""30332566"",""create date:2018/10/18 | first author:White WB"",";;
"Platelet Counts during Pregnancy.,""/pubmed/30332565"",""George JN, McIntosh JJ, Reese JA."",""N Engl J Med. 2018 Oct 18";"379(16):1581-1582. doi: 10.1056/NEJMc1810467. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332565"",""pubmed"",""30332565"",""create date:2018/10/18 | first author:George JN"",";;
"Genomic Analysis of Lassa Virus during an Increase in Cases in Nigeria in 2018.,""/pubmed/30332564"",""Siddle KJ, Eromon P, Barnes KG, Mehta S, Oguzie JU, Odia I, Schaffner SF, Winnicki SM, Shah RR, Qu J, Wohl S, Brehio P, Iruolagbe C, Aiyepada J, Uyigue E, Akhilomen P, Okonofua G, Ye S, Kayode T, Ajogbasile F, Uwanibe J, Gaye A, et al."",""N Engl J Med. 2018 Nov 1";"379(18):1745-1753. doi: 10.1056/NEJMoa1804498. Epub 2018 Oct 17."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332564 | PMCID:PMC6181183"",""pubmed"",""30332564"",""create date:2018/10/18 | first author:Siddle KJ"",";;
"Expression of Concern: Beltrami AP et al. Evidence That Human Cardiac Myocytes Divide after Myocardial Infarction. N Engl J Med 2001;344:1750-7 and Quaini F et al. Chimerism of the Transplanted Heart. N Engl J Med 2002;346:5-15.,""/pubmed/30332558"",""Drazen JM."",""N Engl J Med. 2018 Nov 8";"379(19):1870. doi: 10.1056/NEJMe1813801. Epub 2018 Oct 17. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332558"",""pubmed"",""30332558"",""create date:2018/10/18 | first author:Drazen JM"",";;
"Retraction: Kajstura J et al. Evidence for Human Lung Stem Cells. N Engl J Med 2011;364:1795-806.,""/pubmed/30332555"",""Drazen JM."",""N Engl J Med. 2018 Nov 8";"379(19):1870. doi: 10.1056/NEJMe1813802. Epub 2018 Oct 17. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30332555"",""pubmed"",""30332555"",""create date:2018/10/18 | first author:Drazen JM"",";;
"Informed Consent and the Role of the Treating Physician.,""/pubmed/30318989"",""Rickert J, Boniface T."",""N Engl J Med. 2018 Oct 11";"379(15):e25. doi: 10.1056/NEJMc1809629. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318989"",""pubmed"",""30318989"",""create date:2018/10/16 | first author:Rickert J"",";;
"Informed Consent and the Role of the Treating Physician.,""/pubmed/30318891"",""Agorogiannis EI."",""N Engl J Med. 2018 Oct 11";"379(15):e25. doi: 10.1056/NEJMc1809629. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318891"",""pubmed"",""30318891"",""create date:2018/10/16 | first author:Agorogiannis EI"",";;
"Subclinical Hyperthyroidism.,""/pubmed/30318890"",""Haddad JD."",""N Engl J Med. 2018 Oct 11";"379(15):1484-5. doi: 10.1056/NEJMc1809627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318890"",""pubmed"",""30318890"",""create date:2018/10/16 | first author:Haddad JD"",";;
"Subclinical Hyperthyroidism.,""/pubmed/30318889"",""Hegedüs L, Brix TH, Lillevang-Johansen M."",""N Engl J Med. 2018 Oct 11";"379(15):1484. doi: 10.1056/NEJMc1809627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318889"",""pubmed"",""30318889"",""create date:2018/10/16 | first author:Hegedüs L"",";;
"Subclinical Hyperthyroidism.,""/pubmed/30318888"",""Williams DM, Stephens JW, Price DE."",""N Engl J Med. 2018 Oct 11";"379(15):1483-4. doi: 10.1056/NEJMc1809627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318888"",""pubmed"",""30318888"",""create date:2018/10/16 | first author:Williams DM"",";;
"Endovenous Ablation in Venous Ulceration.,""/pubmed/30318887"",""Bourke MG, Moloney MT, Kavanagh EG."",""N Engl J Med. 2018 Oct 11";"379(15):1482-3. doi: 10.1056/NEJMc1811147. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318887"",""pubmed"",""30318887"",""create date:2018/10/16 | first author:Bourke MG"",";;
"Safety Trials of Long-Acting β(2)-Agonists.,""/pubmed/30318886"",""Weinberger M."",""N Engl J Med. 2018 Oct 11";"379(15):1481-2. doi: 10.1056/NEJMc1810705. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318886"",""pubmed"",""30318886"",""create date:2018/10/16 | first author:Weinberger M"",";;
"Effects of Testosterone Treatment in Older Men.,""/pubmed/30318885"",""[No authors listed]"",""N Engl J Med. 2018 Oct 11";"379(15):1486. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318885"",""pubmed"",""30318885"",""create date:2018/10/16"",";;
"Blood-Pressure and Cholesterol Lowering in Persons without Cardiovascular Disease.,""/pubmed/30318884"",""[No authors listed]"",""N Engl J Med. 2018 Oct 11";"379(15):1486. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30318884"",""pubmed"",""30318884"",""create date:2018/10/16"",";;
"Safety Trials of Long-Acting β(2)-Agonists.,""/pubmed/30304662"",""Busse WW";" the Joint Oversight Steering Committee for LABA Safety Combined Analysis.."",""N Engl J Med. 2018 Oct 11";"379(15):1482. doi: 10.1056/NEJMc1810705. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304662"",""pubmed"",""30304662"",""create date:2018/10/12 | first author:Busse WW"",";
"Case 31-2018: A 37-Year-Old Man with a Self-Inflicted Gunshot Wound.,""/pubmed/30304661"",""Sacks CA, Kamalian S, Masiakos PT, Alba GA, Patalas ED."",""N Engl J Med. 2018 Oct 11";"379(15):1464-1472. doi: 10.1056/NEJMcpc1807500. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304661"",""pubmed"",""30304661"",""create date:2018/10/12 | first author:Sacks CA"",";;
"Neuroblastoma and Histone Demethylation.,""/pubmed/30304660"",""DuBois SG, Park JR."",""N Engl J Med. 2018 Oct 11";"379(15):1476-1477. doi: 10.1056/NEJMcibr1806782. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304660"",""pubmed"",""30304660"",""create date:2018/10/12 | first author:DuBois SG"",";;
"Venetoclax in a Patient with a Blastic Plasmacytoid Dendritic-Cell Neoplasm.,""/pubmed/30304659"",""Agha ME, Monaghan SA, Swerdlow SH."",""N Engl J Med. 2018 Oct 11";"379(15):1479-1481. doi: 10.1056/NEJMc1808354. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304659"",""pubmed"",""30304659"",""create date:2018/10/12 | first author:Agha ME"",";;
"Endovenous Ablation in Venous Ulceration.,""/pubmed/30304658"",""Gohel MS, Heatley F, Davies AH."",""N Engl J Med. 2018 Oct 11";"379(15):1483. doi: 10.1056/NEJMc1811147. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304658"",""pubmed"",""30304658"",""create date:2018/10/12 | first author:Gohel MS"",";;
"Bilateral Vestibular Schwannomas in Neurofibromatosis Type 2.,""/pubmed/30304657"",""Meola A, Chang SD."",""N Engl J Med. 2018 Oct 11";"379(15):1463. doi: 10.1056/NEJMicm1804944. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304657"",""pubmed"",""30304657"",""create date:2018/10/12 | first author:Meola A"",";;
"Timing of Renal-Replacement Therapy in Patients with Acute Kidney Injury and Sepsis.,""/pubmed/30304656"",""Barbar SD, Clere-Jehl R, Bourredjem A, Hernu R, Montini F, Bruyère R, Lebert C, Bohé J, Badie J, Eraldi JP, Rigaud JP, Levy B, Siami S, Louis G, Bouadma L, Constantin JM, Mercier E, Klouche K, du Cheyron D, Piton G, Annane D, Jaber S, et al."",""N Engl J Med. 2018 Oct 11";"379(15):1431-1442. doi: 10.1056/NEJMoa1803213."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304656"",""pubmed"",""30304656"",""create date:2018/10/12 | first author:Barbar SD"",";;
"Classification and Personalized Prognosis in Myeloproliferative Neoplasms.,""/pubmed/30304655"",""Grinfeld J, Nangalia J, Baxter EJ, Wedge DC, Angelopoulos N, Cantrill R, Godfrey AL, Papaemmanuil E, Gundem G, MacLean C, Cook J, O'Neil L, O'Meara S, Teague JW, Butler AP, Massie CE, Williams N, Nice FL, Andersen CL, Hasselbalch HC, Guglielmelli P, McMullin MF, et al."",""N Engl J Med. 2018 Oct 11";"379(15):1416-1430. doi: 10.1056/NEJMoa1716614."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304655"",""pubmed"",""30304655"",""create date:2018/10/12 | first author:Grinfeld J"",";;
"Real-Time Patient-Provider Video Telemedicine Integrated with Clinical Care.,""/pubmed/30304654"",""Reed ME, Parikh R, Huang J, Ballard DW, Barr I, Wargon C."",""N Engl J Med. 2018 Oct 11";"379(15):1478-1479. doi: 10.1056/NEJMc1805746. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304654"",""pubmed"",""30304654"",""create date:2018/10/12 | first author:Reed ME"",";;
"Subclinical Hyperthyroidism.,""/pubmed/30304653"",""Biondi B, Cooper DS."",""N Engl J Med. 2018 Oct 11";"379(15):1485-1486. doi: 10.1056/NEJMc1809627. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304653"",""pubmed"",""30304653"",""create date:2018/10/12 | first author:Biondi B"",";;
"Allogeneic BK Virus-Specific T Cells for Progressive Multifocal Leukoencephalopathy.,""/pubmed/30304652"",""Muftuoglu M, Olson A, Marin D, Ahmed S, Mulanovich V, Tummala S, Chi TL, Ferrajoli A, Kaur I, Li L, Champlin R, Shpall EJ, Rezvani K."",""N Engl J Med. 2018 Oct 11";"379(15):1443-1451. doi: 10.1056/NEJMoa1801540."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304652 | PMCID:PMC6283403"",""pubmed"",""30304652"",""create date:2018/10/12 | first author:Muftuoglu M"",";;
"A Seat at the Table.,""/pubmed/30304651"",""Caulley L."",""N Engl J Med. 2018 Oct 11";"379(15):1400-1401. doi: 10.1056/NEJMp1808347. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304651"",""pubmed"",""30304651"",""create date:2018/10/12 | first author:Caulley L"",";;
"Informed Consent and the Role of the Treating Physician.,""/pubmed/30304650"",""Fernandez Lynch H, Joffe S, Feldman EA."",""N Engl J Med. 2018 Oct 11";"379(15):e25. doi: 10.1056/NEJMc1809629. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304650"",""pubmed"",""30304650"",""create date:2018/10/12 | first author:Fernandez Lynch H"",";;
"Radial Fracture Due to Parathyroid Carcinoma.,""/pubmed/30304649"",""Suzuki T, Tomiie Y."",""N Engl J Med. 2018 Oct 11";"379(15):e24. doi: 10.1056/NEJMicm1710426. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304649"",""pubmed"",""30304649"",""create date:2018/10/12 | first author:Suzuki T"",";;
"Classification, Ontology, and Precision Medicine.,""/pubmed/30304648"",""Haendel MA, Chute CG, Robinson PN."",""N Engl J Med. 2018 Oct 11";"379(15):1452-1462. doi: 10.1056/NEJMra1615014. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304648"",""pubmed"",""30304648"",""create date:2018/10/12 | first author:Haendel MA"",";;
"Effect of Genetic Diagnosis on Patients with Previously Undiagnosed Disease.,""/pubmed/30304647"",""Splinter K, Adams DR, Bacino CA, Bellen HJ, Bernstein JA, Cheatle-Jarvela AM, Eng CM, Esteves C, Gahl WA, Hamid R, Jacob HJ, Kikani B, Koeller DM, Kohane IS, Lee BH, Loscalzo J, Luo X, McCray AT, Metz TO, Mulvihill JJ, Nelson SF, Palmer CGS, et al."",""N Engl J Med. 2018 Nov 29";"379(22):2131-2139. doi: 10.1056/NEJMoa1714458. Epub 2018 Oct 10."",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30304647"",""pubmed"",""30304647"",""create date:2018/10/12 | first author:Splinter K"",";;
"Trauma-Informed Care - Reflections of a Primary Care Doctor in the Week of the Kavanaugh Hearing.,""/pubmed/30303755"",""Rittenberg E."",""N Engl J Med. 2018 Nov 29";"379(22):2094-2095. doi: 10.1056/NEJMp1813497. Epub 2018 Oct 10. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30303755"",""pubmed"",""30303755"",""create date:2018/10/12 | first author:Rittenberg E"",";;
"Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts.,""/pubmed/30285333"",""Stewart RAH."",""N Engl J Med. 2018 Oct 4";"379(14):1388. doi: 10.1056/NEJMc1809971. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30285333"",""pubmed"",""30285333"",""create date:2018/10/05 | first author:Stewart RAH"",";;
"Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts.,""/pubmed/30285332"",""Jenkins D, Sievenpiper J, Jones P."",""N Engl J Med. 2018 Oct 4";"379(14):1387-8. doi: 10.1056/NEJMc1809971. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30285332"",""pubmed"",""30285332"",""create date:2018/10/05 | first author:Jenkins D"",";;
"Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts.,""/pubmed/30285331"",""Correia LCL."",""N Engl J Med. 2018 Oct 4";"379(14):1387. doi: 10.1056/NEJMc1809971. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30285331"",""pubmed"",""30285331"",""create date:2018/10/05 | first author:Correia LCL"",";;
"A Shocking Turn of Events.,""/pubmed/30285330"",""Gerhard GS, Cooper JM, Feldman AM."",""N Engl J Med. 2018 Oct 4";"379(14):1386. doi: 10.1056/NEJMc1809068. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30285330"",""pubmed"",""30285330"",""create date:2018/10/05 | first author:Gerhard GS"",";;
"Breast Cancer in Men.,""/pubmed/30285327"",""Kanakis GA, Jørgensen N, Goulis DG."",""N Engl J Med. 2018 Oct 4";"379(14):1385. doi: 10.1056/NEJMc1809194. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30285327"",""pubmed"",""30285327"",""create date:2018/10/05 | first author:Kanakis GA"",";;
"Cabozantinib in Hepatocellular Carcinoma.,""/pubmed/30285325"",""Maeda O, Ando Y."",""N Engl J Med. 2018 Oct 4";"379(14):1384. doi: 10.1056/NEJMc1810178. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30285325"",""pubmed"",""30285325"",""create date:2018/10/05 | first author:Maeda O"",";;
"Azithromycin and Childhood Mortality in Africa.,""/pubmed/30284804"",""Obaro S."",""N Engl J Med. 2018 Oct 4";"379(14):1382-3. doi: 10.1056/NEJMc1808346. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30284804"",""pubmed"",""30284804"",""create date:2018/10/05 | first author:Obaro S"",";;
"Azithromycin and Childhood Mortality in Africa.,""/pubmed/30284803"",""Michelow IC, Sánchez PJ."",""N Engl J Med. 2018 Oct 4";"379(14):1382. doi: 10.1056/NEJMc1808346. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30284803"",""pubmed"",""30284803"",""create date:2018/10/05 | first author:Michelow IC"",";;
"Azithromycin and Childhood Mortality in Africa.,""/pubmed/30284802"",""Cutler T, Jannat-Khah D, Evans A."",""N Engl J Med. 2018 Oct 4";"379(14):1382. doi: 10.1056/NEJMc1808346. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30284802"",""pubmed"",""30284802"",""create date:2018/10/05 | first author:Cutler T"",";;
"Enzalutamide in Castration-Resistant Prostate Cancer.,""/pubmed/30284801"",""Bregni G, Rebuzzi SE, Fornarini G."",""N Engl J Med. 2018 Oct 4";"379(14):1380-1. doi: 10.1056/NEJMc1810065. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30284801"",""pubmed"",""30284801"",""create date:2018/10/05 | first author:Bregni G"",";;
"Enzalutamide in Castration-Resistant Prostate Cancer.,""/pubmed/30284800"",""Anker MS, Lehmann LH, Anker SD."",""N Engl J Med. 2018 Oct 4";"379(14):1380. doi: 10.1056/NEJMc1810065. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30284800"",""pubmed"",""30284800"",""create date:2018/10/05 | first author:Anker MS"",";;
"Breast Cancer in Men.,""/pubmed/30281998"",""Giordano SH."",""N Engl J Med. 2018 Oct 4";"379(14):1385-1386. doi: 10.1056/NEJMc1809194. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281998"",""pubmed"",""30281998"",""create date:2018/10/04 | first author:Giordano SH"",";;
"Determinants of Risk for Childhood Obesity.,""/pubmed/30281997"",""Freemark M."",""N Engl J Med. 2018 Oct 4";"379(14):1371-1372. doi: 10.1056/NEJMe1811305. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281997"",""pubmed"",""30281997"",""create date:2018/10/04 | first author:Freemark M"",";;
"Next-Generation Sequencing to Diagnose Suspected Genetic Disorders.,""/pubmed/30281996"",""Adams DR, Eng CM."",""N Engl J Med. 2018 Oct 4";"379(14):1353-1362. doi: 10.1056/NEJMra1711801. Review. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281996"",""pubmed"",""30281996"",""create date:2018/10/04 | first author:Adams DR"",";;
"Primary Prevention of Cardiovascular Disease with a Mediterranean Diet Supplemented with Extra-Virgin Olive Oil or Nuts.,""/pubmed/30281995"",""Martínez-González MA, Ros E, Estruch R."",""N Engl J Med. 2018 Oct 4";"379(14):1388-1389. doi: 10.1056/NEJMc1809971. No abstract available. "",""N Engl J Med.  2018"",""PubMed"",""citation"",""PMID:30281995"",""pubmed"",""30281995"",""create date:2018/10/04 | first author:Martínez-González MA"",";;
