Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;;
"Ancestors.,""/pubmed/30657840"",""Halberstadt CS."",""JAMA. 2018 Dec 11";"320(22):2382. doi: 10.1001/jama.2018.11167. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30657840"",""pubmed"",""30657840"",""create date:2019/01/19 | first author:Halberstadt CS"",";;
"Notice of Retraction: Wansink B, Cheney MM. Super Bowls: Serving Bowl Size and Food Consumption. JAMA. 2005;293(14):1727-1728.,""/pubmed/30265737"",""Bauchner H."",""JAMA. 2018 Oct 23";"320(16):1648. doi: 10.1001/jama.2018.14249. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30265737"",""pubmed"",""30265737"",""create date:2018/09/29 | first author:Bauchner H"",";;
"Historical Aspects of Race and Medicine: The Case of J. Marion Sims.,""/pubmed/30264160"",""Wailoo K."",""JAMA. 2018 Oct 16";"320(15):1529-1530. doi: 10.1001/jama.2018.11944. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264160"",""pubmed"",""30264160"",""create date:2018/09/29 | first author:Wailoo K"",";;
"Race, Ancestry, and Medical Research.,""/pubmed/30264148"",""Fontanarosa PB, Bauchner H."",""JAMA. 2018 Oct 16";"320(15):1539-1540. doi: 10.1001/jama.2018.14438. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264148"",""pubmed"",""30264148"",""create date:2018/09/29 | first author:Fontanarosa PB"",";;
"Examining How Race, Ethnicity, and Ancestry Data Are Used in Biomedical Research.,""/pubmed/30264136"",""Bonham VL, Green ED, Pérez-Stable EJ."",""JAMA. 2018 Oct 16";"320(15):1533-1534. doi: 10.1001/jama.2018.13609. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264136"",""pubmed"",""30264136"",""create date:2018/09/29 | first author:Bonham VL"",";;
"Race, Ancestry, and Reporting in Medical Journals.,""/pubmed/30264132"",""Cooper RS, Nadkarni GN, Ogedegbe G."",""JAMA. 2018 Oct 16";"320(15):1531-1532. doi: 10.1001/jama.2018.10960. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264132"",""pubmed"",""30264132"",""create date:2018/09/29 | first author:Cooper RS"",";;
"Opioid Use Disorder During Pregnancy.,""/pubmed/30264126"",""Kuehn B."",""JAMA. 2018 Sep 25";"320(12):1232. doi: 10.1001/jama.2018.13546. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264126"",""pubmed"",""30264126"",""create date:2018/09/29 | first author:Kuehn B"",";;
"Disability and Access to Care.,""/pubmed/30264125"",""Kuehn B."",""JAMA. 2018 Sep 25";"320(12):1232. doi: 10.1001/jama.2018.13336. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264125"",""pubmed"",""30264125"",""create date:2018/09/29 | first author:Kuehn B"",";;
"Letting Her Be in Charge.,""/pubmed/30264123"",""Fiellin LE."",""JAMA. 2018 Sep 25";"320(12):1241-1242. doi: 10.1001/jama.2018.13098. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264123"",""pubmed"",""30264123"",""create date:2018/09/29 | first author:Fiellin LE"",";;
"Gallbladder Cancer.,""/pubmed/30264121"",""Baiu I, Visser B."",""JAMA. 2018 Sep 25";"320(12):1294. doi: 10.1001/jama.2018.11815. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264121"",""pubmed"",""30264121"",""create date:2018/09/29 | first author:Baiu I"",";;
"Five-Year Follow-up of Antibiotic Therapy for Uncomplicated Acute Appendicitis in the APPAC Randomized Clinical Trial.,""/pubmed/30264120"",""Salminen P, Tuominen R, Paajanen H, Rautio T, Nordström P, Aarnio M, Rantanen T, Hurme S, Mecklin JP, Sand J, Virtanen J, Jartti A, Grönroos JM."",""JAMA. 2018 Sep 25";320(12):1259-1265. doi: 10.1001/jama.2018.13201. Erratum in: JAMA. 2018 Oct 23;"320(16):1711. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264120 | PMCID:PMC6233612"",""pubmed"",""30264120"",""create date:2018/09/29 | first author:Salminen P"",";
"Effect of Algorithm-Based Therapy vs Usual Care on Clinical Success and Serious Adverse Events in Patients with Staphylococcal Bacteremia: A Randomized Clinical Trial.,""/pubmed/30264119"",""Holland TL, Raad I, Boucher HW, Anderson DJ, Cosgrove SE, Aycock PS, Baddley JW, Chaftari AM, Chow SC, Chu VH, Carugati M, Cook P, Corey GR, Crowley AL, Daly J, Gu J, Hachem R, Horton J, Jenkins TC, Levine D, Miro JM, Pericas JM, et al."",""JAMA. 2018 Sep 25";"320(12):1249-1258. doi: 10.1001/jama.2018.13155."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264119 | PMCID:PMC6233609"",""pubmed"",""30264119"",""create date:2018/09/29 | first author:Holland TL"",";;
"Prevalence of Variant Reclassification Following Hereditary Cancer Genetic Testing.,""/pubmed/30264118"",""Mersch J, Brown N, Pirzadeh-Miller S, Mundt E, Cox HC, Brown K, Aston M, Esterling L, Manley S, Ross T."",""JAMA. 2018 Sep 25";"320(12):1266-1274. doi: 10.1001/jama.2018.13152."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264118 | PMCID:PMC6233618"",""pubmed"",""30264118"",""create date:2018/09/29 | first author:Mersch J"",";;
"Informing Physicians of Fatal Overdose Curbs Opioid Prescribing.,""/pubmed/30264117"",""Slomski A."",""JAMA. 2018 Sep 25";"320(12):1231. doi: 10.1001/jama.2018.13875. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264117"",""pubmed"",""30264117"",""create date:2018/09/29 | first author:Slomski A"",";;
"Direct-mail FIT Improves Cancer Screening Rates.,""/pubmed/30264116"",""Slomski A."",""JAMA. 2018 Sep 25";"320(12):1231. doi: 10.1001/jama.2018.13874. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264116"",""pubmed"",""30264116"",""create date:2018/09/29 | first author:Slomski A"",";;
"Study Lays Foundation for TB Vaccine.,""/pubmed/30264115"",""Slomski A."",""JAMA. 2018 Sep 25";"320(12):1231. doi: 10.1001/jama.2018.13872. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264115"",""pubmed"",""30264115"",""create date:2018/09/29 | first author:Slomski A"",";;
"Antipsychotics May Affect Metabolism.,""/pubmed/30264114"",""Slomski A."",""JAMA. 2018 Sep 25";"320(12):1231. doi: 10.1001/jama.2018.13871. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264114"",""pubmed"",""30264114"",""create date:2018/09/29 | first author:Slomski A"",";;
"Mosaic HIV Vaccine Shows Promise.,""/pubmed/30264113"",""Slomski A."",""JAMA. 2018 Sep 25";"320(12):1231. doi: 10.1001/jama.2018.13249. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264113"",""pubmed"",""30264113"",""create date:2018/09/29 | first author:Slomski A"",";;
"Use of a Wearable Activity Monitor in a Home-Based Exercise Intervention for Peripheral Artery Disease-Reply.,""/pubmed/30264112"",""McDermott MM, Spring B, Treat-Jacobson D."",""JAMA. 2018 Sep 25";"320(12):1286. doi: 10.1001/jama.2018.10775. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264112"",""pubmed"",""30264112"",""create date:2018/09/29 | first author:McDermott MM"",";;
"Improving Health Care Value by Considering Cost-effectiveness-Reply.,""/pubmed/30264111"",""Pandya A."",""JAMA. 2018 Sep 25";"320(12):1287-1288. doi: 10.1001/jama.2018.10624. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264111"",""pubmed"",""30264111"",""create date:2018/09/29 | first author:Pandya A"",";;
"Antibiotic Treatment for Uncomplicated Urinary Tract Infections-Reply.,""/pubmed/30264110"",""Huttner A, Leibovici L, Harbarth S."",""JAMA. 2018 Sep 25";"320(12):1284-1285. doi: 10.1001/jama.2018.10018. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264110"",""pubmed"",""30264110"",""create date:2018/09/29 | first author:Huttner A"",";;
"Use of a Wearable Activity Monitor in a Home-Based Exercise Intervention for Peripheral Artery Disease.,""/pubmed/30264109"",""de Müllenheim PY, Abraham P, Noury-Desvaux B."",""JAMA. 2018 Sep 25";"320(12):1285-1286. doi: 10.1001/jama.2018.10771. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264109"",""pubmed"",""30264109"",""create date:2018/09/29 | first author:de Müllenheim PY"",";;
"Improving Health Care Value by Considering Cost-effectiveness.,""/pubmed/30264108"",""Sacristán JA."",""JAMA. 2018 Sep 25";"320(12):1287. doi: 10.1001/jama.2018.10620. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264108"",""pubmed"",""30264108"",""create date:2018/09/29 | first author:Sacristán JA"",";;
"Antibiotic Treatment for Uncomplicated Urinary Tract Infections.,""/pubmed/30264107"",""Barros BS."",""JAMA. 2018 Sep 25";"320(12):1284. doi: 10.1001/jama.2018.10011. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264107"",""pubmed"",""30264107"",""create date:2018/09/29 | first author:Barros BS"",";;
"Temporal Trends and Characteristics of Reportable Health Data Breaches, 2010-2017.,""/pubmed/30264106"",""McCoy TH Jr, Perlis RH."",""JAMA. 2018 Sep 25";"320(12):1282-1284. doi: 10.1001/jama.2018.9222. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264106 | PMCID:PMC6233611"",""pubmed"",""30264106"",""create date:2018/09/29 | first author:McCoy TH Jr"",";;
"The Daily Press and the ""Futilities of Contemporary Science"".,""/pubmed/30264105"",""[No authors listed]"",""JAMA. 2018 Sep 25";"320(12):1290. doi: 10.1001/jama.2017.12589. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264105"",""pubmed"",""30264105"",""create date:2018/09/29"",";;
"Indian Health Service Launches Opioids Website.,""/pubmed/30264103"",""Rubin R."",""JAMA. 2018 Sep 25";"320(12):1230. doi: 10.1001/jama.2018.13869. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264103"",""pubmed"",""30264103"",""create date:2018/09/29 | first author:Rubin R"",";;
"Diversifying the NIH-Funded Workforce.,""/pubmed/30264102"",""Rubin R."",""JAMA. 2018 Sep 25";"320(12):1230. doi: 10.1001/jama.2018.13868. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264102"",""pubmed"",""30264102"",""create date:2018/09/29 | first author:Rubin R"",";;
"Obesity and Influenza A Shedding.,""/pubmed/30264101"",""Rubin R."",""JAMA. 2018 Sep 25";"320(12):1230. doi: 10.1001/jama.2018.13078. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264101"",""pubmed"",""30264101"",""create date:2018/09/29 | first author:Rubin R"",";;
"Antibiotic Treatment for Uncomplicated Appendicitis Really Works: Results From 5 Years of Observation in the APPAC Trial.,""/pubmed/30264100"",""Livingston EH."",""JAMA. 2018 Sep 25";"320(12):1245-1246. doi: 10.1001/jama.2018.13368. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264100"",""pubmed"",""30264100"",""create date:2018/09/29 | first author:Livingston EH"",";;
"Treatment Algorithms for Staphylococcal Bacteremia: Improving Clinical Care and Enhancing Antimicrobial Stewardship.,""/pubmed/30264099"",""Perencevich EN, Malani PN."",""JAMA. 2018 Sep 25";"320(12):1243-1244. doi: 10.1001/jama.2018.13315. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264099"",""pubmed"",""30264099"",""create date:2018/09/29 | first author:Perencevich EN"",";;
"Making Sense of the Genome Remains a Work in Progress.,""/pubmed/30264098"",""Burke W."",""JAMA. 2018 Sep 25";"320(12):1247-1248. doi: 10.1001/jama.2018.11784. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264098"",""pubmed"",""30264098"",""create date:2018/09/29 | first author:Burke W"",";;
"Omission of Conflicts of Interest.,""/pubmed/30264097"",""[No authors listed]"",""JAMA. 2018 Sep 25";"320(12):1288. doi: 10.1001/jama.2018.13704. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264097"",""pubmed"",""30264097"",""create date:2018/09/29"",";;
"Unit of Measure Error.,""/pubmed/30264096"",""[No authors listed]"",""JAMA. 2018 Sep 25";"320(12):1288. doi: 10.1001/jama.2018.13694. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264096"",""pubmed"",""30264096"",""create date:2018/09/29"",";;
"Adjusted Data for 2013 Birth Cohort in a Table.,""/pubmed/30264095"",""[No authors listed]"",""JAMA. 2018 Sep 25";"320(12):1288. doi: 10.1001/jama.2018.13235. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264095"",""pubmed"",""30264095"",""create date:2018/09/29"",";;
"Cystic Fibrosis in Art.,""/pubmed/30264094"",""Milliken EJT."",""JAMA. 2018 Sep 25";"320(12):1224-1226. doi: 10.1001/jama.2018.12769. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30264094"",""pubmed"",""30264094"",""create date:2018/09/29 | first author:Milliken EJT"",";;
"Hearing Care Access?: Focus on Clinical Services, Not Devices.,""/pubmed/30242394"",""Reed NS, Lin FR, Willink A."",""JAMA. 2018 Oct 23";"320(16):1641-1642. doi: 10.1001/jama.2018.11649. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242394"",""pubmed"",""30242394"",""create date:2018/09/23 | first author:Reed NS"",";;
"From Lifespan to Healthspan.,""/pubmed/30242384"",""Olshansky SJ."",""JAMA. 2018 Oct 2";"320(13):1323-1324. doi: 10.1001/jama.2018.12621. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242384"",""pubmed"",""30242384"",""create date:2018/09/23 | first author:Olshansky SJ"",";;
"Fractional Flow Reserve Measurement for the Physiological Assessment of Coronary Artery Stenosis Severity.,""/pubmed/30242364"",""Bhatt DL."",""JAMA. 2018 Sep 25";"320(12):1275-1276. doi: 10.1001/jama.2018.10683. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242364"",""pubmed"",""30242364"",""create date:2018/09/23 | first author:Bhatt DL"",";;
"Antibiotics for Sepsis-Finding the Equilibrium.,""/pubmed/30242350"",""Klompas M, Calandra T, Singer M."",""JAMA. 2018 Oct 9";"320(14):1433-1434. doi: 10.1001/jama.2018.12179. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242350"",""pubmed"",""30242350"",""create date:2018/09/23 | first author:Klompas M"",";;
"Aging as a Biological Target for Prevention and Therapy.,""/pubmed/30242337"",""Barzilai N, Cuervo AM, Austad S."",""JAMA. 2018 Oct 2";"320(13):1321-1322. doi: 10.1001/jama.2018.9562. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242337"",""pubmed"",""30242337"",""create date:2018/09/23 | first author:Barzilai N"",";;
"Aging, Cell Senescence, and Chronic Disease: Emerging Therapeutic Strategies.,""/pubmed/30242336"",""Tchkonia T, Kirkland JL."",""JAMA. 2018 Oct 2";"320(13):1319-1320. doi: 10.1001/jama.2018.12440. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242336"",""pubmed"",""30242336"",""create date:2018/09/23 | first author:Tchkonia T"",";;
"Coagulation Test Interpretation in a Patient Taking Direct Oral Anticoagulant Therapy.,""/pubmed/30242329"",""Sholzberg M, Xu Y."",""JAMA. 2018 Oct 9";"320(14):1485-1486. doi: 10.1001/jama.2018.13998. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30242329"",""pubmed"",""30242329"",""create date:2018/09/23 | first author:Sholzberg M"",";;
"Cardiologist Trades Stem Cells for Cell-Based Meat.,""/pubmed/30208490"",""Voelker R."",""JAMA. 2018 Oct 2";"320(13):1303-1306. doi: 10.1001/jama.2018.11895. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208490"",""pubmed"",""30208490"",""create date:2018/09/13 | first author:Voelker R"",";;
"Gadolinium Retention After Contrast-Enhanced MRI.,""/pubmed/30208489"",""Levine D, McDonald RJ, Kressel HY."",""JAMA. 2018 Nov 13";"320(18):1853-1854. doi: 10.1001/jama.2018.13362. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208489"",""pubmed"",""30208489"",""create date:2018/09/13 | first author:Levine D"",";;
"The Acute Stroke Care Revolution: Enhancing Access to Therapeutic Advances.,""/pubmed/30208486"",""Josephson SA, Kamel H."",""JAMA. 2018 Sep 25";"320(12):1239-1240. doi: 10.1001/jama.2018.11122. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208486"",""pubmed"",""30208486"",""create date:2018/09/13 | first author:Josephson SA"",";;
"Reducing Maternal Mortality in the United States.,""/pubmed/30208484"",""Lu MC."",""JAMA. 2018 Sep 25";"320(12):1237-1238. doi: 10.1001/jama.2018.11652. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208484"",""pubmed"",""30208484"",""create date:2018/09/13 | first author:Lu MC"",";;
"Corrected Data for Survey Results in Viewpoint.,""/pubmed/30208480"",""[No authors listed]"",""JAMA. 2018 Sep 7. doi: 10.1001/jama.2018.14161. [Epub ahead of print] No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208480"",""pubmed"",""30208480"",""create date:2018/09/13"",";;;
"Gaps in HIV Testing for Black Men.,""/pubmed/30208462"",""Kuehn B."",""JAMA. 2018 Sep 11";"320(10):966. doi: 10.1001/jama.2018.12833. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208462"",""pubmed"",""30208462"",""create date:2018/09/13 | first author:Kuehn B"",";;
"Mumps Outbreak Preparedness.,""/pubmed/30208461"",""Kuehn B."",""JAMA. 2018 Sep 11";"320(10):966. doi: 10.1001/jama.2018.12455. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208461"",""pubmed"",""30208461"",""create date:2018/09/13 | first author:Kuehn B"",";;
"Pumped.,""/pubmed/30208459"",""Grinberg C."",""JAMA. 2018 Sep 11";"320(10):977-978. doi: 10.1001/jama.2018.12212. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208459"",""pubmed"",""30208459"",""create date:2018/09/13 | first author:Grinberg C"",";;
"Types of Hospitals in the United States.,""/pubmed/30208457"",""Liu JB, Kelz RR."",""JAMA. 2018 Sep 11";"320(10):1074. doi: 10.1001/jama.2018.9471. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208457"",""pubmed"",""30208457"",""create date:2018/09/13 | first author:Liu JB"",";;
"Effect of Levofloxacin Prophylaxis on Bacteremia in Children With Acute Leukemia or Undergoing Hematopoietic Stem Cell Transplantation: A Randomized Clinical Trial.,""/pubmed/30208456"",""Alexander S, Fisher BT, Gaur AH, Dvorak CC, Villa Luna D, Dang H, Chen L, Green M, Nieder ML, Fisher B, Bailey LC, Wiernikowski J, Sung L";" Children’s Oncology Group.."",""JAMA. 2018 Sep 11";"320(10):995-1004. doi: 10.1001/jama.2018.12512."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208456 | PMCID:PMC6143098"",""pubmed"",""30208456"",""create date:2018/09/13 | first author:Alexander S"",";
"Association of Clinical, Imaging, and Thrombus Characteristics With Recanalization of Visible Intracranial Occlusion in Patients With Acute Ischemic Stroke.,""/pubmed/30208455"",""Menon BK, Al-Ajlan FS, Najm M, Puig J, Castellanos M, Dowlatshahi D, Calleja A, Sohn SI, Ahn SH, Poppe A, Mikulik R, Asdaghi N, Field TS, Jin A, Asil T, Boulanger JM, Smith EE, Coutts SB, Barber PA, Bal S, Subramanian S, Mishra S, et al."",""JAMA. 2018 Sep 11";"320(10):1017-1026. doi: 10.1001/jama.2018.12498."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208455 | PMCID:PMC6143104"",""pubmed"",""30208455"",""create date:2018/09/13 | first author:Menon BK"",";;
"Effect of Piperacillin-Tazobactam vs Meropenem on 30-Day Mortality for Patients With E coli or Klebsiella pneumoniae Bloodstream Infection and Ceftriaxone Resistance: A Randomized Clinical Trial.,""/pubmed/30208454"",""Harris PNA, Tambyah PA, Lye DC, Mo Y, Lee TH, Yilmaz M, Alenazi TH, Arabi Y, Falcone M, Bassetti M, Righi E, Rogers BA, Kanj S, Bhally H, Iredell J, Mendelson M, Boyles TH, Looke D, Miyakis S, Walls G, Al Khamis M, Zikri A, et al."",""JAMA. 2018 Sep 11";"320(10):984-994. doi: 10.1001/jama.2018.12163."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208454 | PMCID:PMC6143100"",""pubmed"",""30208454"",""create date:2018/09/13 | first author:Harris PNA"",";;
"Association of Gestational Diabetes With Maternal Disorders of Glucose Metabolism and Childhood Adiposity.,""/pubmed/30208453"",""Lowe WL Jr, Scholtens DM, Lowe LP, Kuang A, Nodzenski M, Talbot O, Catalano PM, Linder B, Brickman WJ, Clayton P, Deerochanawong C, Hamilton J, Josefson JL, Lashley M, Lawrence JM, Lebenthal Y, Ma R, Maresh M, McCance D, Tam WH, Sacks DA, Dyer AR, et al."",""JAMA. 2018 Sep 11";"320(10):1005-1016. doi: 10.1001/jama.2018.11628."",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208453 | PMCID:PMC6143108"",""pubmed"",""30208453"",""create date:2018/09/13 | first author:Lowe WL Jr"",";;
"Antiplatelet Therapy After Coronary Artery Bypass Grafting-Reply.,""/pubmed/30208452"",""Zhu Y, Zhao Q."",""JAMA. 2018 Sep 11";"320(10):1036-1037. doi: 10.1001/jama.2018.10446. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208452"",""pubmed"",""30208452"",""create date:2018/09/13 | first author:Zhu Y"",";;
"Cold Agglutinins in Mycoplasma Infection-Reply.,""/pubmed/30208451"",""Stein B, DeCredico N, Hillman L."",""JAMA. 2018 Sep 11";"320(10):1039. doi: 10.1001/jama.2018.9253. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208451"",""pubmed"",""30208451"",""create date:2018/09/13 | first author:Stein B"",";;
"Generational Differences in Mentoring Relationships-Reply.,""/pubmed/30208450"",""Waljee JF, Chopra V, Saint S."",""JAMA. 2018 Sep 11";"320(10):1038. doi: 10.1001/jama.2018.9037. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208450"",""pubmed"",""30208450"",""create date:2018/09/13 | first author:Waljee JF"",";;
"Antiplatelet Therapy After Coronary Artery Bypass Grafting.,""/pubmed/30208449"",""Shah R, Hesterberg K."",""JAMA. 2018 Sep 11";"320(10):1035. doi: 10.1001/jama.2018.10442. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208449"",""pubmed"",""30208449"",""create date:2018/09/13 | first author:Shah R"",";;
"Antiplatelet Therapy After Coronary Artery Bypass Grafting.,""/pubmed/30208448"",""Mori M, Geirsson A."",""JAMA. 2018 Sep 11";"320(10):1035-1036. doi: 10.1001/jama.2018.10438. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208448"",""pubmed"",""30208448"",""create date:2018/09/13 | first author:Mori M"",";;
"Cold Agglutinins in Mycoplasma Infection.,""/pubmed/30208447"",""Fischer BG, Baduashvili A, Evans AT."",""JAMA. 2018 Sep 11";"320(10):1038-1039. doi: 10.1001/jama.2018.9249. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208447"",""pubmed"",""30208447"",""create date:2018/09/13 | first author:Fischer BG"",";;
"Generational Differences in Mentoring Relationships.,""/pubmed/30208446"",""Warraich HJ."",""JAMA. 2018 Sep 11";"320(10):1037-1038. doi: 10.1001/jama.2018.9031. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208446"",""pubmed"",""30208446"",""create date:2018/09/13 | first author:Warraich HJ"",";;
"Generational Differences in Mentoring Relationships.,""/pubmed/30208445"",""Rogawski DS, Rogawski MM."",""JAMA. 2018 Sep 11";"320(10):1037. doi: 10.1001/jama.2018.9027. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208445"",""pubmed"",""30208445"",""create date:2018/09/13 | first author:Rogawski DS"",";;
"Lethality of Civilian Active Shooter Incidents With and Without Semiautomatic Rifles in the United States.,""/pubmed/30208444"",""de Jager E, Goralnick E, McCarty JC, Hashmi ZG, Jarman MP, Haider AH."",""JAMA. 2018 Sep 11";320(10):1034-1035. doi: 10.1001/jama.2018.11009. No abstract available.  Erratum in: JAMA. 2018 Nov 27;"320(20):2154. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208444 | PMCID:PMC6143093"",""pubmed"",""30208444"",""create date:2018/09/13 | first author:de Jager E"",";
"Biological Problems of Death.,""/pubmed/30208443"",""[No authors listed]"",""JAMA. 2018 Sep 11";"320(10):1041. doi: 10.1001/jama.2017.12567. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208443"",""pubmed"",""30208443"",""create date:2018/09/13"",";;
"Forced Separation of Children From Parents: Another Consideration.,""/pubmed/30208442"",""Mason DJ."",""JAMA. 2018 Sep 11";"320(10):963-964. doi: 10.1001/jama.2018.12154. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208442"",""pubmed"",""30208442"",""create date:2018/09/13 | first author:Mason DJ"",";;
"The US Training System for Physicians-Need for Deeper Analysis.,""/pubmed/30208440"",""Johnston SC."",""JAMA. 2018 Sep 11";"320(10):982-983. doi: 10.1001/jama.2018.12879. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208440"",""pubmed"",""30208440"",""create date:2018/09/13 | first author:Johnston SC"",";;
"Carbapenem-Sparing Therapy for Extended-Spectrum β-Lactamase-Producing E coli and Klebsiella pneumoniae Bloodstream Infection: The Search Continues.,""/pubmed/30208439"",""Hayden MK, Won SY."",""JAMA. 2018 Sep 11";"320(10):979-981. doi: 10.1001/jama.2018.12565. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208439"",""pubmed"",""30208439"",""create date:2018/09/13 | first author:Hayden MK"",";;
"Promising Results in 18-Month Analysis of Alzheimer Drug Candidate.,""/pubmed/30208438"",""Abbasi J."",""JAMA. 2018 Sep 11";"320(10):965. doi: 10.1001/jama.2018.13027. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208438"",""pubmed"",""30208438"",""create date:2018/09/13 | first author:Abbasi J"",";;
"Heat-Activation Concentrates Chemotherapy in Liver Tumors.,""/pubmed/30208437"",""Abbasi J."",""JAMA. 2018 Sep 11";"320(10):965. doi: 10.1001/jama.2018.13026. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208437"",""pubmed"",""30208437"",""create date:2018/09/13 | first author:Abbasi J"",";;
"HIV Preexposure Prophylaxis ""Smart Pill"" in Early Testing.,""/pubmed/30208436"",""Abbasi J."",""JAMA. 2018 Sep 11";"320(10):965. doi: 10.1001/jama.2018.12335. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208436"",""pubmed"",""30208436"",""create date:2018/09/13 | first author:Abbasi J"",";;
"Medical Schools in the United States, 2017-2018.,""/pubmed/30208435"",""Barzansky B, Etzel SI."",""JAMA. 2018 Sep 11";"320(10):1042-1050. doi: 10.1001/jama.2018.11679. No abstract available. "",""JAMA.  2018"",""PubMed"",""citation"",""PMID:30208435"",""pubmed"",""30208435"",""create date:2018/09/13 | first author:Barzansky B"",";;
