Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"Diabetes as a cardiovascular risk factor: An overview of global trends of macro and micro vascular complications.,""/pubmed/31722562"",""Dal Canto E, Ceriello A, Rydén L, Ferrini M, Hansen TB, Schnell O, Standl E, Beulens JW."",""Eur J Prev Cardiol. 2019 Dec";"26(2_suppl):25-32. doi: 10.1177/2047487319878371. Epub 2019 Nov 13."",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31722562"",""pubmed"",""31722562"",""create date:2019/11/15 | first author:Dal Canto E"",";
"Management of patients with type 2 diabetes in cardiovascular rehabilitation.,""/pubmed/31722560"",""Hansen D, Kraenkel N, Kemps H, Wilhelm M, Abreu A, Pfeiffer AF, Jordão A, Cornelissen V, Völler H."",""Eur J Prev Cardiol. 2019 Dec";"26(2_suppl):133-144. doi: 10.1177/2047487319882820. Epub 2019 Nov 13."",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31722560"",""pubmed"",""31722560"",""create date:2019/11/15 | first author:Hansen D"",";
"Quantification of Neuromuscular Fatigue: What Do We Do Wrong and Why?,""/pubmed/31713783"",""Place N, Millet GY."",""Sports Med. 2019 Nov 12. doi: 10.1007/s40279-019-01203-9. [Epub ahead of print]"",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31713783"",""pubmed"",""31713783"",""create date:2019/11/13 | first author:Place N"",";;
"The Safety of Blood Flow Restriction Training as a Therapeutic Intervention for Patients With Musculoskeletal Disorders: A Systematic Review.,""/pubmed/31710505"",""Minniti MC, Statkevich AP, Kelly RL, Rigsby VP, Exline MM, Rhon DI, Clewley D."",""Am J Sports Med. 2019 Nov 11:363546519882652. doi: 10.1177/0363546519882652. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31710505"",""pubmed"",""31710505"",""create date:2019/11/12 | first author:Minniti MC"",";;
"Modifiable lifestyle risk factors and C-reactive protein in patients with coronary artery disease: Implications for an anti-inflammatory treatment target population.,""/pubmed/31707846"",""Blaum C, Brunner FJ, Kröger F, Braetz J, Lorenz T, Goßling A, Ojeda F, Koester L, Karakas M, Zeller T, Westermann D, Schnabel R, Blankenberg S, Seiffert M, Waldeyer C."",""Eur J Prev Cardiol. 2019 Nov 10:2047487319885458. doi: 10.1177/2047487319885458. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31707846"",""pubmed"",""31707846"",""create date:2019/11/12 | first author:Blaum C"",";;
"An evaluation of the training determinants of marathon performance: A meta-analysis with meta-regression.,""/pubmed/31704026"",""Doherty C, Keogh A, Davenport J, Lawlor A, Smyth B, Caulfield B."",""J Sci Med Sport. 2019 Oct 18. pii: S1440-2440(18)31310-0. doi: 10.1016/j.jsams.2019.09.013. [Epub ahead of print] Review."",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31704026"",""pubmed"",""31704026"",""create date:2019/11/11 | first author:Doherty C"",";;
"Resistance Exercise-induced Regulation of Muscle Protein Synthesis to Intraset Rest.,""/pubmed/31703023"",""Salvador AF, Askow AT, McKenna CF, Fang HY, Burke SK, Li Z, Ulanov AV, Paluska SA, Petruzzello SJ, Boppart MD, Oliver JM, Burd NA."",""Med Sci Sports Exerc. 2019 Nov 6. doi: 10.1249/MSS.0000000000002213. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31703023"",""pubmed"",""31703023"",""create date:2019/11/09 | first author:Salvador AF"",";;
"The Influence of Psychological Factors on the Incidence and Severity of Sports-Related Concussions: A Systematic Review.,""/pubmed/31702943"",""Trinh LN, Brown SM, Mulcahey MK."",""Am J Sports Med. 2019 Nov 8:363546519882626. doi: 10.1177/0363546519882626. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31702943"",""pubmed"",""31702943"",""create date:2019/11/09 | first author:Trinh LN"",";;
"Corrections to: The Effect of Nordic Hamstring Exercise Intervention Volume on Eccentric Strength and Muscle Architecture Adaptations: A Systematic Review and Meta-analyses.,""/pubmed/31701414"",""Cuthbert M, Ripley N, McMahon JJ, Evans M, Haff GG, Comfort P."",""Sports Med. 2019 Nov 7. doi: 10.1007/s40279-019-01208-4. [Epub ahead of print]"",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31701414"",""pubmed"",""31701414"",""create date:2019/11/09 | first author:Cuthbert M"",";;
"Implementation and scale-up of physical activity and behavioural nutrition interventions: an evaluation roadmap.,""/pubmed/31699095"",""McKay H, Naylor PJ, Lau E, Gray SM, Wolfenden L, Milat A, Bauman A, Race D, Nettlefold L, Sims-Gould J."",""Int J Behav Nutr Phys Act. 2019 Nov 7";"16(1):102. doi: 10.1186/s12966-019-0868-4."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:31699095 | PMCID:PMC6839114"",""pubmed"",""31699095"",""create date:2019/11/09 | first author:McKay H"",";
"Ticagrelor versus prasugrel for secondary prevention after percutaneous coronary intervention: A systematic review and meta-analysis.,""/pubmed/31698964"",""Ahmed J, Hasnain N, Malik F, Siddiqi TJ, Usman MS, Alkhouli M."",""Eur J Prev Cardiol. 2019 Nov 7:2047487319885194. doi: 10.1177/2047487319885194. [Epub ahead of print] No abstract available. "",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31698964"",""pubmed"",""31698964"",""create date:2019/11/09 | first author:Ahmed J"",";;
"Reply to Borszcz & de Lucas: Comment on: ""Effects of Carbohydrate Mouth Rinse on Cycling Time Trial Performance: A Systematic Review and Meta-Analysis"".,""/pubmed/31696451"",""Brietzke C, Franco-Alvarenga PE, Goethel MF, Santos TM, Pires FO."",""Sports Med. 2019 Nov 6. doi: 10.1007/s40279-019-01212-8. [Epub ahead of print] No abstract available. "",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31696451"",""pubmed"",""31696451"",""create date:2019/11/07 | first author:Brietzke C"",";;
"Comment on: ""Effects of Carbohydrate Mouth Rinse on Cycling Time Trial Performance: A Systematic Review and Meta-analysis"" and Subsequent Comment/Author Reply from Li et al.,""/pubmed/31696450"",""Borszcz FK, de Lucas RD."",""Sports Med. 2019 Nov 6. doi: 10.1007/s40279-019-01216-4. [Epub ahead of print] No abstract available. "",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31696450"",""pubmed"",""31696450"",""create date:2019/11/07 | first author:Borszcz FK"",";;
"Combined Transphyseal and Lateral Extra-articular Pediatric Anterior Cruciate Ligament Reconstruction: A Novel Technique to Reduce ACL Reinjury While Allowing for Growth.,""/pubmed/31693388"",""Wilson PL, Wyatt CW, Wagner KJ 3rd, Boes N, Sabatino MJ, Ellis HB Jr."",""Am J Sports Med. 2019 Dec";"47(14):3356-3364. doi: 10.1177/0363546519881445. Epub 2019 Nov 6."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31693388"",""pubmed"",""31693388"",""create date:2019/11/07 | first author:Wilson PL"",";
"Incidence and Healing Rates of Meniscal Tears in Patients Undergoing Repair During the First Stage of 2-Stage Revision Anterior Cruciate Ligament Reconstruction.,""/pubmed/31693386"",""DePhillipo NN, Dekker TJ, Aman ZS, Bernholt D, Grantham WJ, LaPrade RF."",""Am J Sports Med. 2019 Dec";"47(14):3389-3395. doi: 10.1177/0363546519878421. Epub 2019 Nov 6."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31693386"",""pubmed"",""31693386"",""create date:2019/11/07 | first author:DePhillipo NN"",";
"The Association Between the Acute:Chronic Workload Ratio and Injury and its Application in Team Sports: A Systematic Review.,""/pubmed/31691167"",""Griffin A, Kenny IC, Comyns TM, Lyons M."",""Sports Med. 2019 Nov 5. doi: 10.1007/s40279-019-01218-2. [Epub ahead of print] Review."",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31691167"",""pubmed"",""31691167"",""create date:2019/11/07 | first author:Griffin A"",";;
"Proposed injury thresholds for concussion in equestrian sports.,""/pubmed/31690492"",""Clark JM, Adanty K, Post A, Hoshizaki TB, Clissold J, McGoldrick A, Hill J, Annaidh AN, Gilchrist MD."",""J Sci Med Sport. 2019 Oct 16. pii: S1440-2440(19)30628-0. doi: 10.1016/j.jsams.2019.10.006. [Epub ahead of print]"",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31690492"",""pubmed"",""31690492"",""create date:2019/11/07 | first author:Clark JM"",";;
"The impact of exercise modality and menstrual cycle phase on circulating cardiac troponin T.,""/pubmed/31690491"",""Nie J, Zhang H, Kong Z, Wang C, Liu Y, Shi Q, George K."",""J Sci Med Sport. 2019 Oct 10. pii: S1440-2440(19)30724-8. doi: 10.1016/j.jsams.2019.10.003. [Epub ahead of print]"",""J Sci Med Sport.  2019"",""PubMed"",""citation"",""PMID:31690491"",""pubmed"",""31690491"",""create date:2019/11/07 | first author:Nie J"",";;
"Activity Level Maintenance at Midterm Follow-up Among Active Patients Undergoing Periacetabular Osteotomy.,""/pubmed/31689124"",""Okoroafor UC, Pascual-Garrido C, Schwabe MT, Nepple JJ, Schoenecker PL, Clohisy JC."",""Am J Sports Med. 2019 Dec";"47(14):3455-3459. doi: 10.1177/0363546519881421. Epub 2019 Nov 5."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31689124"",""pubmed"",""31689124"",""create date:2019/11/07 | first author:Okoroafor UC"",";
"Rate of Return to Sport and Functional Outcomes After Bilateral Hip Arthroscopy in High-Level Athletes.,""/pubmed/31689121"",""Rosinsky PJ, Kyin C, Lall AC, Shapira J, Maldonado DR, Domb BG."",""Am J Sports Med. 2019 Dec";"47(14):3444-3454. doi: 10.1177/0363546519885354. Epub 2019 Nov 5."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31689121"",""pubmed"",""31689121"",""create date:2019/11/07 | first author:Rosinsky PJ"",";
"Association of Fish Oil and Physical Activity on Mobility Disability in Older Adults.,""/pubmed/31688650"",""Balachandran A, Gundermann DM, Walkup MP, King AC, Ambrosius WT, Kritchevsky SB, Pahor M, Newman AB, Manini TM."",""Med Sci Sports Exerc. 2019 Nov 1. doi: 10.1249/MSS.0000000000002195. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31688650"",""pubmed"",""31688650"",""create date:2019/11/07 | first author:Balachandran A"",";;
"Neuromuscular Electrical Stimulation Preserves Leg Lean Mass in Geriatric Patients.,""/pubmed/31688649"",""Karlsen A, Cullum CK, Norheim KL, Scheel FU, Zinglersen AH, Vahlgren J, Schjerling P, Kjaer M, Mackey AL."",""Med Sci Sports Exerc. 2019 Nov 1. doi: 10.1249/MSS.0000000000002191. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31688649"",""pubmed"",""31688649"",""create date:2019/11/07 | first author:Karlsen A"",";;
"Age-related Deficits in Voluntary Activation: A Systematic Review and Meta-analysis.,""/pubmed/31688647"",""Rozand V, Sundberg CW, Hunter SK, Smith AE."",""Med Sci Sports Exerc. 2019 Nov 1. doi: 10.1249/MSS.0000000000002179. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31688647"",""pubmed"",""31688647"",""create date:2019/11/07 | first author:Rozand V"",";;
"Planned Aerobic Exercise Increases Energy Intake at the Preceding Meal.,""/pubmed/31688645"",""Barutcu A, Taylor S, McLeod CJ, Witcomb GL, James LJ."",""Med Sci Sports Exerc. 2019 Nov 1. doi: 10.1249/MSS.0000000000002199. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31688645"",""pubmed"",""31688645"",""create date:2019/11/07 | first author:Barutcu A"",";;
"Correction to: How the 2018 US Physical Activity Guidelines are a Call to Promote and Better Understand Acute Physical Activity for Cognitive Function Gains.,""/pubmed/31686384"",""Chang YK, Erickson KI, Stamatakis E, Hung TM."",""Sports Med. 2019 Nov 4. doi: 10.1007/s40279-019-01225-3. [Epub ahead of print]"",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31686384"",""pubmed"",""31686384"",""create date:2019/11/07 | first author:Chang YK"",";;
"Is running associated with a lower risk of all-cause, cardiovascular and cancer mortality, and is the more the better? A systematic review and meta-analysis.,""/pubmed/31685526"",""Pedisic Z, Shrestha N, Kovalchik S, Stamatakis E, Liangruenrom N, Grgic J, Titze S, Biddle SJ, Bauman AE, Oja P."",""Br J Sports Med. 2019 Nov 4. pii: bjsports-2018-100493. doi: 10.1136/bjsports-2018-100493. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31685526"",""pubmed"",""31685526"",""create date:2019/11/07 | first author:Pedisic Z"",";;
"ICON 2019-International Scientific Tendinopathy Symposium Consensus: There are nine core health-related domains for tendinopathy (CORE DOMAINS): Delphi study of healthcare professionals and patients.,""/pubmed/31685525"",""Vicenzino B, de Vos RJ, Alfredson H, Bahr R, Cook JL, Coombes BK, Fu SN, Gravare Silbernagel K, Grimaldi A, Lewis JS, Maffulli N, Magnusson SP, Malliaras P, Mc Auliffe S, Oei EHG, Purdam C, Rees JD, Rio EK, Scott A, Speed C, Akker-Scheek IVD, Weir A, et al."",""Br J Sports Med. 2019 Nov 4. pii: bjsports-2019-100894. doi: 10.1136/bjsports-2019-100894. [Epub ahead of print]"",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31685525"",""pubmed"",""31685525"",""create date:2019/11/07 | first author:Vicenzino B"",";;
"Do physical activity and screen time mediate the association between European fathers' and their children's weight status? Cross-sectional data from the Feel4Diabetes-study.,""/pubmed/31685028"",""Latomme J, Huys N, Cardon G, Morgan PJ, Lateva M, Chakarova N, Kivelä J, Lindström J, Androutsos O, González-Gil EM, De Miguel-Etayo P, Nánási A, Kolozsvári LR, Manios Y, De Craemer M";" Feel4Diabetes-study group.."",""Int J Behav Nutr Phys Act. 2019 Nov 4";"16(1):100. doi: 10.1186/s12966-019-0864-8."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:31685028 | PMCID:PMC6829912"",""pubmed"",""31685028"",""create date:2019/11/07 | first author:Latomme J"","
"Diagnostic Performance of Magnetic Resonance Imaging for Detecting Meniscal Ramp Lesions in Patients With Anterior Cruciate Ligament Tears: A Systematic Review and Meta-analysis.,""/pubmed/31684739"",""Koo B, Lee SH, Yun SJ, Song JG."",""Am J Sports Med. 2019 Nov 4:363546519880528. doi: 10.1177/0363546519880528. [Epub ahead of print]"",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31684739"",""pubmed"",""31684739"",""create date:2019/11/07 | first author:Koo B"",";;
"Insufficient Sleep in Young Athletes? Causes, Consequences, and Potential Treatments.,""/pubmed/31679145"",""Fox JL, Scanlan AT, Stanton R, Sargent C."",""Sports Med. 2019 Nov 2. doi: 10.1007/s40279-019-01220-8. [Epub ahead of print] Review."",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31679145"",""pubmed"",""31679145"",""create date:2019/11/05 | first author:Fox JL"",";;
"Running to Lower Resting Blood Pressure: A Systematic Review and Meta-analysis.,""/pubmed/31677122"",""Igarashi Y, Nogami Y."",""Sports Med. 2019 Nov 1. doi: 10.1007/s40279-019-01209-3. [Epub ahead of print] Review."",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31677122"",""pubmed"",""31677122"",""create date:2019/11/05 | first author:Igarashi Y"",";;
"The Effect of the Menstrual Cycle and Oral Contraceptives on Acute Responses and Chronic Adaptations to Resistance Training: A Systematic Review of the Literature.,""/pubmed/31677121"",""Thompson B, Almarjawi A, Sculley D, Janse de Jonge X."",""Sports Med. 2019 Nov 1. doi: 10.1007/s40279-019-01219-1. [Epub ahead of print] Review."",""Sports Med.  2019"",""PubMed"",""citation"",""PMID:31677121"",""pubmed"",""31677121"",""create date:2019/11/05 | first author:Thompson B"",";;
"Effectiveness of physical activity interventions for overweight and obesity during pregnancy: a systematic review of the content of behaviour change interventions.,""/pubmed/31675954"",""Flannery C, Fredrix M, Olander EK, McAuliffe FM, Byrne M, Kearney PM."",""Int J Behav Nutr Phys Act. 2019 Nov 1";"16(1):97. doi: 10.1186/s12966-019-0859-5. Review."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:31675954 | PMCID:PMC6825353"",""pubmed"",""31675954"",""create date:2019/11/05 | first author:Flannery C"",";
"Exercise alone and exercise combined with education both prevent episodes of low back pain and related absenteeism: systematic review and network meta-analysis of randomised controlled trials (RCTs) aimed at preventing back pain.,""/pubmed/31672696"",""Huang R, Ning J, Chuter VH, Taylor JB, Christophe D, Meng Z, Xu Y, Jiang L."",""Br J Sports Med. 2019 Oct 31. pii: bjsports-2018-100035. doi: 10.1136/bjsports-2018-100035. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31672696"",""pubmed"",""31672696"",""create date:2019/11/02 | first author:Huang R"",";;
"Substituting prolonged sedentary time and cardiovascular risk in children and youth: a meta-analysis within the International Children's Accelerometry database (ICAD).,""/pubmed/31672163"",""Wijndaele K, White T, Andersen LB, Bugge A, Kolle E, Northstone K, Wedderkopp N, Ried-Larsen M, Kriemler S, Page AS, Puder JJ, Reilly JJ, Sardinha LB, van Sluijs EMF, Sharp SJ, Brage S, Ekelund U";" International Children’s Accelerometry Database (ICAD) Collaborators.."",""Int J Behav Nutr Phys Act. 2019 Oct 31";"16(1):96. doi: 10.1186/s12966-019-0858-6."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:31672163 | PMCID:PMC6822444"",""pubmed"",""31672163"",""create date:2019/11/02 | first author:Wijndaele K"","
"Follow-up of patients after revascularisation for peripheral arterial diseases: a consensus document from the European Society of Cardiology Working Group on Aorta and Peripheral Vascular Diseases and the European Society for Vascular Surgery.,""/pubmed/31672063"",""Venermo M, Sprynger M, Desormais I, Björck M, Brodmann M, Cohnert T, De Carlo M, Espinola-Klein C, Kownator S, Mazzolai L, Naylor R, Vlachopoulos C, Ricco JB, Aboyans V."",""Eur J Prev Cardiol. 2019 Dec";"26(18):1971-1984. doi: 10.1177/2047487319846999. Epub 2019 Nov 1."",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31672063"",""pubmed"",""31672063"",""create date:2019/11/02 | first author:Venermo M"",";
"Native-Osteoarthritic Joint Resident Stem and Progenitor Cells for Cartilage Cell-Based Therapies: A Quantitative Comparison With Respect to Concentration and Biological Performance.,""/pubmed/31671273"",""Mantripragada VP, Bova WA, Piuzzi NS, Boehm C, Obuchowski NA, Midura RJ, Muschler GF."",""Am J Sports Med. 2019 Dec";"47(14):3521-3530. doi: 10.1177/0363546519880905. Epub 2019 Oct 31."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31671273"",""pubmed"",""31671273"",""create date:2019/11/02 | first author:Mantripragada VP"",";
"Which specific modes of exercise training are most effective for treating low back pain? Network meta-analysis.,""/pubmed/31666220"",""Owen PJ, Miller CT, Mundell NL, Verswijveren SJ, Tagliaferri SD, Brisby H, Bowe SJ, Belavy DL."",""Br J Sports Med. 2019 Oct 30. pii: bjsports-2019-100886. doi: 10.1136/bjsports-2019-100886. [Epub ahead of print] Review."",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31666220"",""pubmed"",""31666220"",""create date:2019/11/02 | first author:Owen PJ"",";;
"A systematic review and meta-analysis of the overall effects of school-based obesity prevention interventions and effect differences by intervention components.,""/pubmed/31665040"",""Liu Z, Xu HM, Wen LM, Peng YZ, Lin LZ, Zhou S, Li WH, Wang HJ."",""Int J Behav Nutr Phys Act. 2019 Oct 29";"16(1):95. doi: 10.1186/s12966-019-0848-8. Review."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:31665040 | PMCID:PMC6819386"",""pubmed"",""31665040"",""create date:2019/10/31 | first author:Liu Z"",";
"Menstrual and oral contraceptive cycle phases do not affect submaximal and maximal exercise responses.,""/pubmed/31663173"",""Mattu AT, Iannetta D, MacInnis MJ, Doyle-Baker PK, Murias JM."",""Scand J Med Sci Sports. 2019 Oct 30. doi: 10.1111/sms.13590. [Epub ahead of print]"",""Scand J Med Sci Sports.  2019"",""PubMed"",""citation"",""PMID:31663173"",""pubmed"",""31663173"",""create date:2019/10/31 | first author:Mattu AT"",";;
"Sleep - the yet underappreciated player in cardiovascular diseases: A clinical review from the German Cardiac Society Working Group on Sleep Disordered Breathing.,""/pubmed/31658829"",""Spiesshoefer J, Linz D, Skobel E, Arzt M, Stadler S, Schoebel C, Fietze I, Penzel T, Sinha AM, Fox H, Oldenburg O, On Behalf Of The German Cardiac Society Working Group On Sleep Disordered Breathing Ag-Deutsche Gesellschaft Für Kardiologie Herz Und Kreislaufforschung E V O."",""Eur J Prev Cardiol. 2019 Oct 29:2047487319879526. doi: 10.1177/2047487319879526. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31658829"",""pubmed"",""31658829"",""create date:2019/10/30 | first author:Spiesshoefer J"",";;
"Cost-effectiveness of exercise therapy in patients with coronary heart disease, chronic heart failure and associated risk factors: A systematic review of economic evaluations of randomized clinical trials.,""/pubmed/31657233"",""Oldridge N, Taylor RS."",""Eur J Prev Cardiol. 2019 Oct 26:2047487319881839. doi: 10.1177/2047487319881839. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31657233"",""pubmed"",""31657233"",""create date:2019/10/28 | first author:Oldridge N"",";;
"A systematic review of the effect of infrastructural interventions to promote cycling: strengthening causal inference from observational data.,""/pubmed/31655609"",""Mölenberg FJM, Panter J, Burdorf A, van Lenthe FJ."",""Int J Behav Nutr Phys Act. 2019 Oct 26";"16(1):93. doi: 10.1186/s12966-019-0850-1. Review."",""Int J Behav Nutr Phys Act.  2019"",""PubMed"",""citation"",""PMID:31655609 | PMCID:PMC6815350"",""pubmed"",""31655609"",""create date:2019/10/28 | first author:Mölenberg FJM"",";
"Child maltreatment in sport: smashing the wall of silence: a narrative review of physical, sexual, psychological abuses and neglect.,""/pubmed/31653778"",""Fortier K, Parent S, Lessard G."",""Br J Sports Med. 2020 Jan";"54(1):4-7. doi: 10.1136/bjsports-2018-100224. Epub 2019 Oct 25. Review."",""Br J Sports Med.  2020"",""PubMed"",""citation"",""PMID:31653778"",""pubmed"",""31653778"",""create date:2019/10/28 | first author:Fortier K"",";
"Effectiveness of multicomponent lower extremity injury prevention programmes in team-sport athletes: an umbrella review.,""/pubmed/31653775"",""Valenzuela PL, Brunner R, Castillo-García A, Friesenbichler B, Casartelli NC, Morales JS, Maffiuletti NA, Bizzini M, Niedermann K."",""Br J Sports Med. 2019 Oct 25. pii: bjsports-2019-101354. doi: 10.1136/bjsports-2019-101354. [Epub ahead of print] No abstract available. "",""Br J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31653775"",""pubmed"",""31653775"",""create date:2019/10/28 | first author:Valenzuela PL"",";;
"Exercise Effects on Mitochondrial Function and Lipid Metabolism during Energy Balance.,""/pubmed/31652245"",""Warren JL, Hunter GR, Gower BA, Bamman MM, Windham ST, Moellering DR, Fisher G."",""Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002190. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31652245"",""pubmed"",""31652245"",""create date:2019/10/28 | first author:Warren JL"",";;
"Effects of Exergaming on Cognition and Gait in Older Adults at Risk for Falling.,""/pubmed/31652241"",""Ogawa EF, Huang H, Yu LF, Gona PN, Fleming RK, Leveille SG, You T."",""Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002167. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31652241"",""pubmed"",""31652241"",""create date:2019/10/28 | first author:Ogawa EF"",";;
"Cachexia Disrupts Diurnal Regulation of Activity, Feeding, and Muscle mTORC1 in Mice.,""/pubmed/31652240"",""Counts BR, Hardee JP, Fix DK, VanderVeen BN, Montalvo RN, Carson JA."",""Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002166. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31652240"",""pubmed"",""31652240"",""create date:2019/10/28 | first author:Counts BR"",";;
"Daily Changes of Resting Metabolic Rate in Elite Rugby Union Players.,""/pubmed/31652238"",""Hudson J, Cole M, Morton JP, Stewart C, Close GL."",""Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002169. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31652238"",""pubmed"",""31652238"",""create date:2019/10/28 | first author:Hudson J"",";;
"The Basics of Training for Muscle Size and Strength: A Brief Review on the Theory.,""/pubmed/31652235"",""Buckner SL, Jessee MB, Mouser JG, Dankel SJ, Mattocks KT, Bell ZW, Abe T, Loenneke JP."",""Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002171. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31652235"",""pubmed"",""31652235"",""create date:2019/10/28 | first author:Buckner SL"",";;
"Physical Activity and Genome-wide DNA Methylation: The REGICOR Study.,""/pubmed/31652233"",""Fernández-Sanlés A, Sayols-Baixeras S, de Moura MC, Esteller M, Subirana I, Torres-Cuevas S, Pérez-Fernández S, Aslibekyan S, Marrugat J, Elosua R."",""Med Sci Sports Exerc. 2019 Oct 23. doi: 10.1249/MSS.0000000000002174. [Epub ahead of print]"",""Med Sci Sports Exerc.  2019"",""PubMed"",""citation"",""PMID:31652233"",""pubmed"",""31652233"",""create date:2019/10/28 | first author:Fernández-Sanlés A"",";;
"CO(2) supplementation dissociates cerebral oxygenation and middle cerebral artery blood velocity during maximal cycling.,""/pubmed/31650627"",""Hansen RK, Nielsen PS, Schelske MW, Secher NH, Volianitis S."",""Scand J Med Sci Sports. 2019 Oct 25. doi: 10.1111/sms.13582. [Epub ahead of print]"",""Scand J Med Sci Sports.  2019"",""PubMed"",""citation"",""PMID:31650627"",""pubmed"",""31650627"",""create date:2019/10/28 | first author:Hansen RK"",";;
"Anatomic and Biomechanical Evaluation of Ulnar Tunnel Position in Medial Ulnar Collateral Ligament Reconstruction.,""/pubmed/31647881"",""Dutton PH, Banffy MB, Nelson TJ, Metzger MF."",""Am J Sports Med. 2019 Dec";"47(14):3491-3497. doi: 10.1177/0363546519880182. Epub 2019 Oct 24."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31647881"",""pubmed"",""31647881"",""create date:2019/10/28 | first author:Dutton PH"",";
"The Femoral Footprint Position of the Anterior Cruciate Ligament Might Be a Predisposing Factor to a Noncontact Anterior Cruciate Ligament Rupture.,""/pubmed/31647682"",""Dimitriou D, Wang Z, Zou D, Tsai TY, Helmy N."",""Am J Sports Med. 2019 Dec";"47(14):3365-3372. doi: 10.1177/0363546519878706. Epub 2019 Oct 24."",""Am J Sports Med.  2019"",""PubMed"",""citation"",""PMID:31647682"",""pubmed"",""31647682"",""create date:2019/10/28 | first author:Dimitriou D"",";
"Prevalence and patterns of cognitive impairment in acute coronary syndrome patients: A systematic review.,""/pubmed/31645116"",""Zhao E, Lowres N, Woolaston A, Naismith SL, Gallagher R."",""Eur J Prev Cardiol. 2019 Oct 24:2047487319878945. doi: 10.1177/2047487319878945. [Epub ahead of print]"",""Eur J Prev Cardiol.  2019"",""PubMed"",""citation"",""PMID:31645116"",""pubmed"",""31645116"",""create date:2019/10/28 | first author:Zhao E"",";;
